mature_miRNA,disease,potential_biomarker,miRNA_type,author,journal,title,year,method,description
hsa-miR-122,acetaminophen-induced acute liver injury (APAP-ALI),1,circulating,Starkey Lewis PJ et al.,Hepatology. 54(5):1767-76.,Circulating microRNAs as potential markers of human drug-induced liver injury.,2011,"miRNeasy kit (Qiagen, Venlo, Netherlands)|Taqman-based quantitative polymerase chain reaction (PCR)|stem-loop reverse-transcription RT primers (Applied Biosystems, Foster City, CA)","Serum miR-122 and miR-192 were substantially higher in APAP-ALI patients, compared to healthy controls."
hsa-miR-192,acetaminophen-induced acute liver injury (APAP-ALI),1,circulating,Starkey Lewis PJ et al.,Hepatology. 54(5):1767-76.,Circulating microRNAs as potential markers of human drug-induced liver injury.,2011,"miRNeasy kit (Qiagen, Venlo, Netherlands)|Taqman-based quantitative polymerase chain reaction (PCR)|stem-loop reverse-transcription RT primers (Applied Biosystems, Foster City, CA)","Serum miR-122 and miR-192 were substantially higher in APAP-ALI patients, compared to healthy controls."
hsa-miR-146a,acute exhaustive exercise,0,circulating,baggish al et al.,j physiol. 589(pt 16):3983-94.,dynamic regulation of circulating microrna during acute exhaustive exercise and sustained aerobic exercise training.,2011,"microrna extraction kit (benevbio, mission viejo, ca, usa)|rt-qpcr","authors sought to determine whether c-mirnas are dynamically regulated in response to acute exhaustive cycling exercise and sustained rowing exercise training using a longitudinal, repeated measures study design."
hsa-miR-222,acute exhaustive exercise,0,circulating,baggish al et al.,j physiol. 589(pt 16):3983-94.,dynamic regulation of circulating microrna during acute exhaustive exercise and sustained aerobic exercise training.,2011,"microrna extraction kit (benevbio, mission viejo, ca, usa)|rt-qpcr","authors sought to determine whether c-mirnas are dynamically regulated in response to acute exhaustive cycling exercise and sustained rowing exercise training using a longitudinal, repeated measures study design."
hsa-miR-21,acute exhaustive exercise,0,circulating,baggish al et al.,j physiol. 589(pt 16):3983-94.,dynamic regulation of circulating microrna during acute exhaustive exercise and sustained aerobic exercise training.,2011,"microrna extraction kit (benevbio, mission viejo, ca, usa)|rt-qpcr","authors sought to determine whether c-mirnas are dynamically regulated in response to acute exhaustive cycling exercise and sustained rowing exercise training using a longitudinal, repeated measures study design."
hsa-miR-221,acute exhaustive exercise,0,circulating,baggish al et al.,j physiol. 589(pt 16):3983-94.,dynamic regulation of circulating microrna during acute exhaustive exercise and sustained aerobic exercise training.,2011,"microrna extraction kit (benevbio, mission viejo, ca, usa)|rt-qpcr","authors sought to determine whether c-mirnas are dynamically regulated in response to acute exhaustive cycling exercise and sustained rowing exercise training using a longitudinal, repeated measures study design."
hsa-miR-20a,acute exhaustive exercise,0,circulating,baggish al et al.,j physiol. 589(pt 16):3983-94.,dynamic regulation of circulating microrna during acute exhaustive exercise and sustained aerobic exercise training.,2011,"microrna extraction kit (benevbio, mission viejo, ca, usa)|rt-qpcr","authors sought to determine whether c-mirnas are dynamically regulated in response to acute exhaustive cycling exercise and sustained rowing exercise training using a longitudinal, repeated measures study design."
hsa-miR-133a,acute exhaustive exercise,0,circulating,baggish al et al.,j physiol. 589(pt 16):3983-94.,dynamic regulation of circulating microrna during acute exhaustive exercise and sustained aerobic exercise training.,2011,"microrna extraction kit (benevbio, mission viejo, ca, usa)|rt-qpcr","authors sought to determine whether c-mirnas are dynamically regulated in response to acute exhaustive cycling exercise and sustained rowing exercise training using a longitudinal, repeated measures study design."
hsa-miR-210,acute exhaustive exercise,0,circulating,baggish al et al.,j physiol. 589(pt 16):3983-94.,dynamic regulation of circulating microrna during acute exhaustive exercise and sustained aerobic exercise training.,2011,"microrna extraction kit (benevbio, mission viejo, ca, usa)|rt-qpcr","authors sought to determine whether c-mirnas are dynamically regulated in response to acute exhaustive cycling exercise and sustained rowing exercise training using a longitudinal, repeated measures study design."
hsa-miR-328,acute exhaustive exercise,0,circulating,baggish al et al.,j physiol. 589(pt 16):3983-94.,dynamic regulation of circulating microrna during acute exhaustive exercise and sustained aerobic exercise training.,2011,"microrna extraction kit (benevbio,mission viejo, ca, usa)|rt-qpcr","authors sought to determine whether c-mirnas are dynamically regulated in response to acute exhaustive cycling exercise and sustained rowing exercise training using a longitudinal, repeated measures study design."
